busNum,AllPassengers,AllResidents2,AllResidents,overlap_cnt,Trans_rat,AllPassengers/dist,term_min
100,446729,"335,891","1,343,564",62,"1,801,764",7824.996,10
101,456114,"265,855","1,063,418",46,"1,728,763",12063.32,8
102,339532,"351,941","1,407,765",31,"1,504,571",11242.78,11
103,324650,"271,785","1,087,140",58,"1,463,297",10672.26,9
104,266534,"260,527","1,042,107",40,"943,816",8738.82,7
105,280664,"312,375","1,561,877",44,"808,214",7239.206,12
106,295944,"308,038","1,232,151",38,"2,076,335",6076.879,12
107,397729,"308,038","1,232,151",29,"2,007,358",6109.508,10
108,324307,"308,038","1,232,151",29,"2,017,017",3668.631,16
109,217859,"302,800","908,399",30,"816,308",7736.47,9
120,577299,"368,134","1,104,402",38,"886,484",17441.06,6
121,351233,"350,706","1,402,823",27,"294,940",10428.84,7
130,803258,"364,512","2,551,581",24,"1,188,158",16494,7
140,589319,"321,730","2,573,836",60,"2,902,959",10143.18,7
141,488600,"384,459","2,691,216",28,"1,219,145",9031.423,11
142,611254,"345,324","2,417,269",50,"1,917,295",10290.47,9
143,934812,"323,758","1,942,547",73,"1,565,777",14426.11,7
144,569610,"325,332","2,602,654",58,"1,139,723",11674.73,7
145,511034,"388,472","1,942,361",33,"517,100",11206.89,9
146,719649,"416,149","2,080,743",21,"201,911",12581.28,8
147,698340,"431,410","2,157,049",32,"414,747",15174.71,6
148,482044,"394,577","2,367,464",42,"1,189,559",10808.16,9
150,699421,"297,385","2,973,848",67,"3,193,321",9350.548,8
151,463065,"280,608","1,683,648",66,"2,282,129",9785.82,7
152,886647,"340,542","2,383,791",72,"1,703,057",13761.4,7
153,809802,"341,307","2,730,456",55,"1,181,528",12164.67,7
160,879506,"304,868","2,438,940",55,"2,759,650",12582.35,8
162,427875,"276,195","1,380,976",60,"1,036,683",11349.47,6
171,404649,"286,320","1,431,600",53,"1,142,946",8918.867,8
172,352419,"325,638","1,953,825",59,"1,253,525",7498.277,10
173,293327,"312,347","1,249,387",50,"417,644",6789.977,11
201,258843,"294,362","883,085",54,"1,119,953",5006.634,16
202,595166,"351,328","1,405,310",51,"774,523",11208.4,8
240,296543,"429,410","1,717,639",25,"162,489",7094.33,11
241,414593,"343,247","1,716,237",39,"607,213",8129.275,10
