bus,stop,XX,ID,lng,lat,총승차승객수,총하차승객수,환승비율승객수
N1,쌍문역,1417,109000015,127.0347521,37.64882356,64184,138352,55340.8
N1,쌍문역,1418,109000016,127.0344825,37.64806304,124178,57605,20737.8
N1,쌍문역,1429,109000041,127.0340912,37.6474047,21774,7131,285.24
N1,우이1교앞,1419,109000017,127.0326524,37.64529302,47951,22341,8936.4
N1,우이1교앞,1420,109000018,127.0324639,37.64466342,18853,49434,17796.24
N1,우이1교앞,1430,109000042,127.0320767,37.64403376,945,6730,269.2
N1,수유3동우체국,1262,108000001,127.0290061,37.64126603,57318,54097,21638.8
N1,수유3동우체국,1263,108000002,127.0286314,37.64069667,35813,45307,18122.8
N1,수유(강북구청)역,1402,108000378,127.0260369,37.63852004,128098,135594,70508.88
N1,수유시장.성신여대미아캠퍼스앞,1266,108000005,127.0241828,37.63122907,126139,85358,54629.12
N1,수유시장.성신여대미아캠퍼스앞,1267,108000006,127.0246947,37.63056352,97616,106665,68265.6
N1,미아역.신일중고,1268,108000007,127.0266556,37.62487126,89958,66711,42695.04
N1,미아역.신일중고,1269,108000008,127.0271522,37.6241142,66798,91790,58745.6
N1,도봉세무서.성북시장,1270,108000009,127.0287005,37.61970957,68426,69463,44456.32
N1,도봉세무서.성북시장,1271,108000010,127.0292315,37.61883281,50885,79720,51020.8
N1,미아사거리역,1272,108000011,127.0300023,37.61376514,194669,132194,84604.16
N1,미아사거리역,1273,108000012,127.0302404,37.61289695,191772,222976,151623.68
N1,현대백화점,1249,107000233,127.0292024,37.60789911,8734,10659,426.36
N1,현대백화점,1925,112000176,126.9329519,37.55657582,18292,14742,1769.04
N1,현대백화점,2763,118000197,126.9279017,37.52514569,11985,2345,187.6
N1,월곡뉴타운,1086,107000001,127.028232,37.60688977,59005,58303,32649.68
N1,월곡뉴타운,1087,107000002,127.0273788,37.60599704,48689,63812,35734.72
N1,길음뉴타운,1088,107000003,127.0241845,37.60360938,106924,109449,74425.32
N1,길음뉴타운,1089,107000004,127.0236778,37.60319108,69269,73730,44238
N1,미아리고개.미아리예술극장,1090,107000005,127.0216801,37.5988125,94317,94145,67784.4
N1,미아리고개.미아리예술극장,1091,107000006,127.0217898,37.59792335,79138,84437,60794.64
N1,돈암사거리.성신여대입구,1092,107000007,127.018087,37.59377511,86353,137495,98996.4
N1,돈암사거리.성신여대입구,1093,107000008,127.0178187,37.59332094,185991,131704,94826.88
N1,성신여대입구역,1218,107000174,127.016266,37.5933999,9266,18108,724.32
N1,성신여대입구역,1219,107000175,127.0163395,37.59347679,7874,7912,316.48
N1,삼선동주민센터,1164,107000085,127.0144094,37.59065882,33832,41969,8393.8
N1,삼선동주민센터,1165,107000086,127.014621,37.59061886,36499,38995,7799
N1,성북구청.성북경찰서,1166,107000087,127.0173203,37.58829056,39888,31197,6239.4
N1,성북구청.성북경찰서,1167,107000088,127.0171651,37.58855494,34942,42199,8439.8
N1,보문역,1168,107000089,127.019299,37.585282,27940,27757,4441.12
N1,보문역,1169,107000090,127.0198766,37.58445128,17847,18066,2167.92
N1,보문역,1238,107000199,127.0201984,37.58556506,4331,4998,199.92
N1,보문역,1239,107000200,127.0201056,37.58560655,1983,2318,92.72
N1,보문역,1247,107000230,127.0193412,37.58546185,12571,7100,568
N1,보문동주민센터,1172,107000093,127.0218797,37.58045694,18764,14558,1746.96
N1,보문동주민센터,1173,107000094,127.0226003,37.5793832,17335,19602,2352.24
N1,신설동로터리,72,100000147,127.0229469,37.57585614,16961,46399,7423.84
N1,동묘앞,91,100000366,127.017533,37.573432,67720,35117,18260.84
N1,동묘앞,92,100000367,127.019639,37.57430372,67717,83316,49989.6
N1,동대문역.흥인지문,113,100000398,127.0134621,37.57228008,121665,93103,55861.8
N1,동대문(흥인지문),90,100000365,127.0124928,37.57216719,73851,111134,66680.4
N1,종로6가.동대문종합시장,111,100000396,127.0034688,37.57091778,87252,38561,15424.4
N1,종로6가.동대문종합시장,112,100000397,127.0057094,37.57115181,50812,79836,35127.84
N1,종로5가.효제초등학교,48,100000109,127.002028,37.57288183,38025,23150,9260
N1,종로4가.종묘,107,100000392,126.9947287,37.57041688,49849,42591,25554.6
N1,종로4가.종묘,108,100000393,126.995277,37.57060029,28494,57992,27836.16
N1,종로3가.탑골공원,NA,NA,126.989569,37.57018754,NA,NA,NA
N1,종로3가.탑골공원,NA,NA,126.9899683,37.57038869,NA,NA,NA
N1,종로2가,103,100000388,126.9855411,37.57008725,98985,73506,49984.08
N1,종로2가,104,100000389,126.986254,37.57026795,97392,88292,60038.56
N1,종로1가,86,100000330,126.9804547,37.570265,11539,8464,677.12
N1,종로1가,101,100000386,126.981,37.570072,94948,74946,38971.92
N1,종로1가,102,100000387,126.9813906,37.57026661,80010,82728,46327.68
N1,시청앞,139,101000033,126.9764872,37.56260691,20809,44905,12573.4
N1,시청앞,141,101000035,126.9763191,37.56272336,11522,1952,234.24
N1,삼성본관앞,140,101000034,126.9760491,37.56201768,26720,17910,4298.4
N1,숭례문.한국일보,131,101000023,126.9738535,37.55870646,14803,12351,1976.16
N1,서울역버스환승센터,117,101000004,126.9725522,37.55547764,128818,114194,91355.2
N1,서울역버스환승센터,118,101000005,126.9725603,37.55537624,39226,54490,15257.2
N1,서울역버스환승센터,119,101000006,126.9727727,37.55547526,95004,77494,34097.36
