busNum,00시승차총승객수,1시승차총승객수,2시승차총승객수,3시승차총승객수,4시승차총승객수,5시승차총승객수,6시승차총승객수,7시승차총승객수,8시승차총승객수,9시승차총승객수,10시승차총승객수,11시승차총승객수,12시승차총승객수,13시승차총승객수,14시승차총승객수,15시승차총승객수,16시승차총승객수,17시승차총승객수,18시승차총승객수,19시승차총승객수,20시승차총승객수,21시승차총승객수,22시승차총승객수,23시승차총승객수,AllPassengers,지나는 지역구 거주민 평균 (반올림),지나는 지역구 거주민 합,노선별 겹치는 노선 수,환승 비율 총 승객수,총승객수/거리,배차간격
100,2603,137,0,0,6103,7144,12236,29462,32387,23777,19826,20465,23090,24509,24747,28286,33053,33475,35259,24103,19412,19818,20663,6174,446729,"335,891","1,343,564",62,"1,801,764",7824.996,10
101,2301,44,0,0,6110,11518,14016,26608,33449,23379,21179,20110,22175,24544,26886,29890,33640,33568,34282,26615,19212,19201,18810,8577,456114,"265,855","1,063,418",46,"1,728,763",12063.32,8
102,1298,4,0,0,6007,10120,10272,23570,27109,19027,15862,15773,17288,17750,18186,19518,22049,21829,24596,19135,14371,14924,15278,5566,339532,"351,941","1,407,765",31,"1,504,571",11242.78,11
103,1014,0,0,0,1713,5658,9533,18955,24395,16562,15224,15442,17835,19837,20063,21235,24586,23965,25507,17900,13123,12609,13967,5527,324650,"271,785","1,087,140",58,"1,463,297",10672.26,9
104,1131,0,0,0,10665,8720,8435,16748,21278,14718,11581,10862,12553,13420,13888,15058,16597,17223,18189,14583,10732,11874,12576,5703,266534,"260,527","1,042,107",40,"943,816",8738.82,7
105,1075,0,0,0,5695,8274,7474,15799,20511,15931,14964,15441,16437,16723,17292,17612,18733,19473,19870,14045,10263,10452,10989,3611,280664,"312,375","1,561,877",44,"808,214",7239.206,12
106,2970,231,0,0,3887,6010,12532,19718,21936,14878,12319,11778,12152,13075,13818,17111,18927,21717,23559,17006,13926,14086,15601,8707,295944,"308,038","1,232,151",38,"2,076,335",6076.879,12
107,2286,184,0,0,3694,5637,12919,25862,35868,21168,16521,16594,18241,19422,19613,24244,27714,30281,31775,23448,17378,16503,19361,9016,397729,"308,038","1,232,151",29,"2,007,358",6109.508,10
108,7499,2512,350,0,2165,3824,7499,18038,24703,16086,13874,14724,16776,16800,16416,18238,21898,24684,24921,18554,13747,14753,15768,10478,324307,"308,038","1,232,151",29,"2,017,017",3668.631,16
109,520,0,0,0,2201,4755,7112,12958,16748,10428,8035,8813,10350,11696,12426,14260,15268,16271,18698,13383,10798,10422,9419,3298,217859,"302,800","908,399",30,"816,308",7736.47,9
